TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-17 11:34:00,158,26.9897,-18.7297
2022-03-17 11:33:00,190,27.11505,-18.62009
2022-03-17 11:29:00,148,26.99088,-18.72889
2022-03-17 11:28:00,177,27.11505,-18.61818
2022-03-17 11:24:00,142,26.992,-18.72812
2022-03-17 11:23:00,198,27.11519,-18.61644
2022-03-17 11:19:00,145,26.99311,-18.72749
2022-03-17 11:18:00,188,27.115340000000003,-18.61449
2022-03-17 11:14:00,126,26.99424,-18.72671
2022-03-17 11:13:00,185,27.11551,-18.61259
2022-03-17 11:09:00,131,26.99529,-18.72635
2022-03-17 11:08:00,192,27.11559,-18.61078
2022-03-17 11:04:00,128,26.99632,-18.72605
2022-03-17 11:03:00,191,27.11565,-18.60889
2022-03-17 10:59:00,143,26.9975,-18.7258
2022-03-17 10:58:00,199,27.115440000000003,-18.60703
2022-03-17 10:54:00,160,26.998690000000003,-18.72536
2022-03-17 10:53:00,186,27.11562,-18.60506
2022-03-17 10:49:00,142,26.99998,-18.72491
2022-03-17 10:48:00,188,27.11583,-18.60324
2022-03-17 10:44:00,156,27.00113,-18.72449
2022-03-17 10:43:00,184,27.11606,-18.60133
2022-03-17 10:39:00,162,27.00247,-18.72396
2022-03-17 10:38:00,198,27.11626,-18.5995
2022-03-17 10:34:00,138,27.00379,-18.7234
2022-03-17 10:33:00,197,27.116540000000004,-18.59755
2022-03-17 10:29:00,139,27.00499000000001,-18.72317
2022-03-17 10:28:00,203,27.11667000000001,-18.59563
2022-03-17 10:24:00,136,27.00623,-18.7231
2022-03-17 10:23:00,187,27.11679,-18.59359
2022-03-17 10:19:00,117,27.00741,-18.72306
2022-03-17 10:18:00,157,27.11685,-18.59172
2022-03-17 10:14:00,141,27.00848,-18.723
2022-03-17 10:13:00,166,27.11781,-18.59058
2022-03-17 10:09:00,134,27.00967,-18.72283
2022-03-17 10:08:00,156,27.11877,-18.58934
2022-03-17 10:04:00,159,27.01086,-18.72264
2022-03-17 10:03:00,160,27.11978,-18.58828
2022-03-17 09:59:00,143,27.01218,-18.72219
2022-03-17 09:58:00,173,27.12072,-18.58707
2022-03-17 09:54:00,145,27.01342,-18.72195
2022-03-17 09:53:00,163,27.12175,-18.58587
2022-03-17 09:49:00,144,27.01466,-18.7218
2022-03-17 09:48:00,167,27.12275,-18.58469
2022-03-17 09:44:00,141,27.01581,-18.72133
2022-03-17 09:43:00,163,27.12376,-18.58351
2022-03-17 09:39:00,143,27.01698,-18.72112000000001
2022-03-17 09:38:00,159,27.12482,-18.58244
2022-03-17 09:34:00,146,27.01818,-18.72082
2022-03-17 09:33:00,149,27.12578,-18.58132
2022-03-17 09:29:00,152,27.01948,-18.72069
